Bank,2000Q1,2000Q2,2000Q3,2000Q4,2001Q1,2001Q2,2001Q3,2001Q4,2002Q1,2002Q2,2002Q3,2002Q4,2003Q1,2003Q2,2003Q3,2003Q4,2004Q1
MER US Equity,40727.0854604244,46189.9792265892,53466.4012527466,56814.5872530341,46498.9970144272,49997.3930701017,34360.6853395462,45208.9171058464,47774.7614131737,35046.0443079472,28751.0179307461,35512.565741086,33696.2924089909,43633.4744676018,50894.9839088631,54651.5027572632,57589.6509784126
LEH US Equity,8710.875,9390.532875,17418.5941952,11716.3271875,16978.58665,17487.30522,15693.43555,15712.8741,13795.605,14858.014,13627.32834,14191.4434,13369.75094,17364.68786,15723.53622,19256.89059,24039.13356
HCBK US Equity,1608.15036964417,1863.07146978378,1839.56998443604,2184.327,1992.02797460556,2270.20879295349,2293.34843063354,2507.80855,3134.79195877075,3677.58826446533,3070.48885528564,3433.35996,3729.72587646484,4689.80703735352,5663.91474395752,6965.727192,6866.63815124512
CORSQ US Equity,339.467635273933,378.188445568085,510.794093474746,699.857498258352,721.29298210144,851.51327252388,636.312206172943,642.86399307251,673.024792747498,650.213032993317,618.947691364288,616.435558986664,559.897401266098,675.456439094543,750.912699584961,869.707760353088,1124.09098463058
AMFIQ US Equity,484.644890546799,496.48849105835,521.828752994537,537.564700126648,521.624826669693,615.664414672852,567.136637573242,549.877064323425,579.427457847595,572.2758162117,543.773500900269,537.921290397644,540.28787727356,577.981698665619,627.540705795288,680.142492828369,747.741258239746
ABCWQ US Equity,448.910619020462,411.206254959106,376.521736383438,382.396989583969,362.186560630798,360.749754548073,366.640014648438,316.558132410049,361.89989490509,368.104987335205,440.7680519104,499.748515281677,603.039299030304,497.162390136719,505.82275,525.548867416382,571.14083401
BKUNQ US Equity,144.379431396723,127.334244072437,131.94156768918,134.524947151542,159.713535487652,206.688104748726,351.745370644331,367.88041662991,374.78421997726,376.166153312922,488.06150284946,403.860030138493,412.599506121874,451.383884719014,591.507358521223,629.124541974068,770.856936981082
CBCRQ US Equity,89.4911875,81.580282875,88.1471267938614,74.4412522315979,103.870247244835,107.808398890495,100.828697085381,103.779899644852,174.92490444,255.2072,194.3201,270.5816,248.255739,340.5643721,365.298003673553,398.3952,381.920311164856
VNBCQ US Equity,11.2944377139211,7.34343753755093,6.06125003099442,5.7698437795043,7.22687503695488,9.70839991569519,11.2260003089905,12.1940003037453,15.7245001494884,17.3339999914169,30.8791993141174,46.3124984502792,43.9243489980698,61.6220026016235,91.7869112324715,112.35000193119,139.064757399559
BOFLQ US Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,28.3267999649048,30.4820999622345,31.8984399604797,45.3844599437714,46.1006015062332
FBTXQ US Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,392.874757061005
CIBH US Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
NXTYQ US Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
CAPEQ US Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
SRYPQ US Equity,#N/A N/A,2.94749999046326,2.35799999237061,2.00429999351501,3.30330002307892,3.64779993057251,2.45524995326996,2.6383499622345,2.26099994659424,2.95648010253906,3.51082012176514,1.38963994979858,1.38963994979858,0.942969965934753,0.347409987449646,0.992599964141846,0.595559978485107
DRLCQ US Equity,479.231425762177,484.526800632477,685.751045703888,1025.38072514534,1278.51001739502,1465.36460418701,1854.7952331543,1492.15014286041,1623.59091320038,1598.91359298706,1734.16925811768,2054.88137207031,2541.52373161316,3210.55819549561,3380.94488525391,3483.14109832764,3798.36149902344
FRGBQ US Equity,18.6862495541573,19.4590001106262,22.0243754684925,18.7039995193481,20.4289993643761,22.0440008759499,33.9507850457668,30.394498705864,32.574801158905,36.307800579071,29.7321512937546,41.1430809831619,43.2947497963905,51.8902269005775,59.5022975683212,83.5636,108.045002102852
CCOWQ US Equity,37.9052501916885,46.9572502374649,48.8157488107681,54.6240005493164,66.3712519407272,70.5917002773285,76.3490986824036,72.6732506752014,94.5249981880188,100.465120072365,100.817910289764,125.403745508194,132.8519699049,140.660402297974,180.345796327591,223.779321103096,222.673249440193
BHBCQ US Equity,16.2776253223419,30.0524997711182,27.5481247901917,25.04375,35.1382508277893,39.1540509223938,37.6166417312622,#N/A N/A,37.3758007049561,55.9383024215698,58.4526596069336,60.0434989929199,70.0723168945312,76.54875,86.4710385131836,113.195995330811,200.666036567688
NTBKQ US Equity,390.103116,369.033056616783,350.535928487778,190.876877903938,262.613754272461,358.639409828186,265.755865402222,304.077193603516,869.8092,628.7104,517.751760635376,470.941689453125,445.96645992279,624.520786857605,597.087478637695,635.25973777771,573.735670623779
WAMUQ US Equity,14644.589,15557.2725,21462.202125,28646.109,32015.2815,32982.6433,33855.89688,28550.0103,32255.0367,36152.11668,30014.57544,32597.94291,32976.85041,38171.0294,35978.43198,35345.15832,37112.98263
FFEDQ US Equity,230.046493530273,243.048885345459,396.197996139526,556.809011340141,483.084007263184,514.586389541626,449.591995239258,442.14311592102,451.322870349884,500.830013275146,438.934487819672,490.152442932129,512.384683685303,599.647700462341,673.277503013611,741.500979423523,788.407811698914
MBCRQ US Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TFINQ US Equity,#N/A N/A,#N/A N/A,#N/A N/A,27.173999786377,#N/A N/A,#N/A N/A,#N/A N/A,35.8976091480255,#N/A N/A,#N/A N/A,#N/A N/A,42.1069979667664,#N/A N/A,#N/A N/A,#N/A N/A,51.864998793602,#N/A N/A
FPFCQ US Equity,118.152125954628,90.6099987030029,80.1399993896484,106.285250902176,97.8670034408569,173.624004364014,175.956001281738,186.526043548584,205.117924575806,219.397504806519,228.991502571106,266.375884227753,183.403626079559,212.730956954956,192.66000289917,221.9875,225.034507989883
CBCGQ US Equity,1197.84027099609,991.719017028809,1144.31060600281,1202.86046981812,1438.48899841309,1617.10292633057,1439.551953125,1623.78800643921,1791.98156188965,1772.95497894287,1533.2600189209,1475.741,1392.56996154785,1723.43067428589,1796.66806976318,2199.207,2353.19994354248
PFFBQ US Equity,261.59999370575,288.399375,266.19313120842,206.382493495941,242.998742341995,290.449501991272,275.92575,303.6610068125,331.438302993774,363.000493049622,364.899592208862,407.4408,509.222387695312,353.790347099304,378.374993801117,364.734945631027,456.881653833389
HWFGQ US Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,51.8494408226013,53.6195928506851,68.3668771743774,72.0107970237732,94.3631494522095
PREM US Equity,11.7932506799698,10.2550005912781,11.2805006504059,23.3033746480942,27.5661870837212,31.3110003471375,33.7038012504578,38.479499578476,44.9063977718353,45.5867977380753,45.1531010627747,46.6249782428741,54.7560024261475,64.7946028709412,68.9568212032318,86.1984607410431,85.9447427511215
MBHIQ US Equity,145.354502677917,149.017496824265,150.359996795654,162.442496538162,166.469996452332,236.2799949646,229.643480892181,227.629997730255,237.913153886795,321.945187263489,308.570751552582,306.118287277222,324.279566116333,345.675985183716,397.140651168823,397.585861358643,422.78052772522
AWBCQ US Equity,69.5019998550415,70.4261241555214,70.0612486898899,78.4574997425079,82.7696256637573,80.9760989189148,83.4023998260498,88.0284984111786,96.162498831749,102.049998760223,107.641046333313,126.384186916351,148.569424581528,150.155457000732,167.573092460632,209.919594955444,201.229564819336
UWBKQ US Equity,54.0800018310547,45.6300015449524,52.8320010900497,46.7328751087189,58.6170001029968,67.575970954895,64.5906,68.4495005607605,75.825617,72.293987044,64.858697956,61.4278478336334,55.1738655,66.51948032,58.94178501,60.3007504940033,73.99043435
FBFS US Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
IRWNQ US Equity,314.040012359619,302.78325176239,343.940495252609,445.488355278969,447.152871131897,532.978785800934,444.66838054657,362.185005187988,515.310816574097,557.4132,471.733009338379,458.22149848938,542.36770275116,724.121541404724,679.962608528137,883.41702,762.346893997192
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
